Intervention,interventionType
Public Administration and Governance,Macro-economic conditions
Taxation/Fiscal Policy,Macro-economic conditions
Trade & Investment Policy,Macro-economic conditions
Labor Policies,Meso-level: Business Environment
Business Regulations,Meso-level: Business Environment
Infrastructure- Transport,Meso-level: Business Environment
Infrastructure-ICT,Meso-level: Business Environment
Infrastructure-Energy,Meso-level: Business Environment
Infrastructure-Irrigation/Water,Meso-level: Business Environment
Spatial Development,Meso-level: Business Environment
Productive Assets- Land,Micro- level: Individuals/ Firms
Productive Assets-Finance/Financial System,Micro- level: Individuals/ Firms
Productive Assets-MSME/ Entrepreneurship,Micro- level: Individuals/ Firms
Labor Programs- Public Employment,Micro- level: Individuals/ Firms
Labor Programs- Wage Subsidies,Micro- level: Individuals/ Firms
Labor Programs-Public Works,Micro- level: Individuals/ Firms
Labor Programs- Livelihoods/ CDD,Micro- level: Individuals/ Firms
Skills & Training,Micro- level: Individuals/ Firms
