jobsName,jobsType
Access to/ working of product markets,Intermediate Outcomes
Firm performance/ investment,Intermediate Outcomes
Human capital,Intermediate Outcomes
Job creation (by employers),Job Creation
New enterprises,Job Creation
Entrepreneurs/self-employed,Job Creation
Worker productivity,Job Quality
Working conditions and benefits,Job Quality
Earnings/ livelihood,Job Quality
Labor force participation,Job Access
Working of labor market,Job Access
Youth,Job Access
Gender,Job Access
Bottom 40/ Poor,Job Access
Fragile ,Job Access
Lagging regions,Job Access
