mainLabel,subLabel
Intermediate Outcomes,Access to/ working of product markets
Intermediate Outcomes,Firm performance/ investment
Intermediate Outcomes,Human capital
Job Creation,Job creation (by employers)
Job Creation,New enterprises
Job Creation,Entrepreneurs/self-employed
Job Quality,Worker productivity
Job Quality,Working conditions and benefits
Job Quality,Earnings/ livelihood
Job Access,Labor force participation
Job Access,Working of labor market
Job Access,Access and Opportunity for Jobs
